City,Country,Lat,Lon,Date,Max Temp,Humidity,Cloudiness,Wind Speed
leresti,RO,45.33,25.07,1571116195,59.0,88.0,19.0,1.01
rikitea,PF,-23.12,-134.97,1571116195,73.58,83.0,15.0,8.76
luba,PH,17.32,120.7,1571116195,88.0,61.0,71.0,6.57
sheffield,GB,53.38,-1.47,1571116195,50.0,93.0,90.0,10.29
teguldet,RU,57.31,88.17,1571116196,58.42,47.0,100.0,13.03
el colomo,MX,20.87,-105.16,1571116196,82.99,88.0,75.0,3.36
ribeira grande,PT,38.52,-28.7,1571116196,63.34,82.0,100.0,21.54
kruisfontein,ZA,-34,24.73,1571116196,64.17,61.0,15.0,9.11
yellowknife,CA,62.45,-114.38,1571116196,30.2,74.0,90.0,10.29
mandalgovi,MN,45.76,106.27,1571116197,43.18,27.0,0.0,8.46
busselton,AU,-33.64,115.35,1571116197,66.99,32.0,86.0,12.81
punta arenas,CL,-53.16,-70.91,1571116197,37.4,86.0,31.0,1.12
nemuro,JP,43.32,145.57,1571116197,50.0,57.0,40.0,8.05
bredasdorp,ZA,-34.53,20.04,1571116198,59.0,87.0,11.0,4.7
saskylakh,RU,71.97,114.09,1571116198,22.51,96.0,94.0,5.26
ushuaia,AR,-54.81,-68.31,1571116198,42.8,70.0,82.0,18.34
atuona,PF,-9.8,-139.03,1571116199,79.84,78.0,5.0,16.6
komsomolskiy,RU,67.55,63.78,1571116199,34.45,90.0,100.0,14.23
lagoa,PT,37.14,-8.45,1571116199,55.99,81.0,0.0,2.24
barrow,AR,-38.31,-60.23,1571116199,37.42,91.0,100.0,4.78
vaini,IN,15.34,74.49,1571116199,77.0,78.0,40.0,5.82
lebu,ET,8.96,38.73,1571116200,57.2,58.0,20.0,2.24
albany,US,42.65,-73.75,1571116200,50.0,61.0,90.0,5.82
mar del plata,AR,-46.43,-67.52,1571116200,43.81,78.0,0.0,2.67
broome,GB,52.47,1.45,1571116201,54.0,87.0,100.0,8.05
leh,IN,34.16,77.58,1571116201,38.59,24.0,0.0,3.57
polunochnoye,RU,60.87,60.43,1571116201,38.91,76.0,93.0,8.06
klaksvik,FO,62.23,-6.59,1571116202,46.4,93.0,0.0,16.11
lorengau,PG,-2.02,147.27,1571116202,84.33,71.0,39.0,10.29
laguna,BZ,16.17,-88.94,1571116202,77.0,94.0,75.0,4.1
castro,CL,-42.48,-73.76,1571116202,48.2,76.0,100.0,2.24
fochville,ZA,-26.49,27.49,1571116203,69.01,45.0,33.0,2.24
catalina,PE,-13.57,-76.13,1571116203,59.0,82.0,0.0,1.51
guepsa,CO,6.03,-73.57,1571116203,54.59,96.0,96.0,2.79
nishihara,JP,35.74,139.53,1571116203,73.99,64.0,90.0,4.7
bluff,AU,-23.58,149.07,1571116204,97.3,14.0,10.0,7.48
cabo san lucas,MX,22.89,-109.91,1571116204,80.01,88.0,40.0,5.82
itoman,JP,26.12,127.67,1571116204,82.4,58.0,1.0,21.92
whitehorse,CA,60.72,-135.06,1571116204,26.6,68.0,90.0,3.36
ekibastuz,KZ,51.72,75.32,1571116205,55.13,46.0,50.0,19.69
carnarvon,ZA,-30.97,22.13,1571116205,60.53,36.0,0.0,16.58
khatanga,RU,71.98,102.47,1571116205,19.92,91.0,61.0,6.28
butaritari,KI,3.07,172.79,1571116205,83.08,72.0,93.0,6.37
hilo,US,19.71,-155.08,1571116206,77.0,78.0,40.0,5.75
north platte,US,41.12,-100.77,1571116206,52.0,49.0,1.0,11.1
selikhino,RU,50.37,137.51,1571116206,40.93,45.0,0.0,11.77
pakxan,LA,18.39,103.66,1571116206,88.27,45.0,79.0,7.25
uchiza,PE,-8.46,-76.46,1571116206,62.06,95.0,82.0,4.05
puerto ayora,EC,-0.74,-90.35,1571116207,66.99,89.0,50.0,1.99
hobart,AU,-42.88,147.33,1571116247,51.8,87.0,75.0,6.93
esperance,AU,-33.86,121.89,1571116247,60.8,59.0,40.0,14.99
morros,BR,-2.87,-44.04,1571116247,78.8,83.0,20.0,9.17
leningradskiy,RU,69.38,178.42,1571116248,33.26,80.0,100.0,12.61
ponta do sol,BR,-20.63,-46,1571116248,66.9,55.0,1.0,2.8
camalu,MX,30.85,-116.07,1571116248,58.05,82.0,0.0,0.8
jamestown,AU,-33.21,138.6,1571116248,66.11,61.0,99.0,2.47
